Recency,Frequency,Monetary,InterpurchaseTime,ImpulseScore,Cluster_K4,Cluster_K5
2,2.4849066497880004,8.342127645985029,1.5170645923030852,0.9019607843137255,2,2
1,5.327876168789581,10.298388051160632,0.06344263061693409,0.9910186199342825,2,2
4,1.791759469228055,8.304465209249729,0.7182111492231615,0.9847715736040609,2,2
3,1.6094379124341003,6.849426769082011,1.8797282421740122,0.9482758620689655,1,1
214,0.6931471805599453,4.540311613639595,0.0,1.0,0,4
71,1.0986122886681098,6.856335660826602,0.3042113744029915,0.9777777777777777,0,0
75,1.791759469228055,7.473353138595107,4.02535169073515,0.0,3,3
60,0.6931471805599453,5.986753467377863,0.0,1.0,0,0
3,2.0794415416798357,7.296901285267718,1.6072132174119893,0.9333333333333333,2,2
6,1.3862943611198906,6.066456057398334,0.9490805546971459,0.9166666666666666,1,1
3,1.9459101490553132,6.927273552128017,1.1856236656577395,0.9090909090909091,2,2
337,1.0986122886681098,4.913757219119768,1.575536360758419,0.8333333333333334,0,4
91,1.6094379124341003,7.581780800334496,2.268683541318364,0.6666666666666666,1,1
262,0.6931471805599453,5.3755098623779425,0.0,1.0,0,4
32,1.0986122886681098,5.950720674536128,1.252762968495368,0.9615384615384616,1,1
145,0.6931471805599453,6.0363901104609745,0.0,1.0,0,0
283,0.6931471805599453,5.7474165116762626,0.0,1.0,0,4
59,1.6094379124341003,7.868583334984023,0.8930338697098877,0.9827586206896551,2,2
173,0.6931471805599453,4.906015244966153,0.0,1.0,0,4
34,1.0986122886681098,6.528147958043258,1.3315438463484823,0.9918032786885246,1,1
3,2.70805020110221,8.629167388389371,0.7655421391045746,0.9584664536741214,2,2
144,1.6094379124341003,7.911239704558553,0.544191317609791,0.9732142857142857,2,2
5,3.258096538021482,8.299870167916959,0.6149921094312093,0.9474940334128878,2,2
70,1.0986122886681098,6.961286567192258,2.132686056198648,0.96875,1,1
66,2.1972245773362196,7.440299340765267,1.0653866410397892,0.9313725490196079,2,2
29,1.0986122886681098,5.789837839256022,1.0920548881219507,0.9803921568627451,1,1
267,1.3862943611198906,4.985590952989995,0.6312717768418579,0.96,0,4
22,0.6931471805599453,6.771408498297926,0.0,1.0,0,0
31,1.0986122886681098,6.958343825092948,1.747459210331475,0.98,1,1
97,0.6931471805599453,4.9139775400548205,0.0,1.0,0,0
295,0.6931471805599453,5.744764456377822,0.0,1.0,0,4
135,1.9459101490553132,7.579729894309281,1.205270663041536,0.974025974025974,2,2
79,1.3862943611198906,7.18954502572908,1.1608545975453306,0.981651376146789,1,1
373,0.6931471805599453,3.66612246699132,0.0,1.0,0,4
8,1.9459101490553132,7.687506670317465,0.15915865751441705,0.9840255591054313,2,2
211,1.0986122886681098,7.009770204388867,1.1059923959657323,0.9777777777777777,1,4
52,0.6931471805599453,6.258050656265029,0.0,1.0,0,0
138,0.6931471805599453,3.353406717825807,0.0,1.0,0,0
26,2.0794415416798357,8.30346022135619,0.4790408822716772,0.9888268156424581,2,2
186,1.9459101490553132,7.3827837624756185,1.0098841730594255,0.9528301886792453,2,2
84,1.0986122886681098,5.9444777558836455,2.5877640352277083,0.9,1,1
327,1.0986122886681098,6.398545016483998,0.4603417183339987,0.9846153846153847,0,4
282,0.6931471805599453,5.926926025970411,0.0,1.0,0,4
4,2.5649493574615367,7.337438090181038,1.1861681796924293,0.9281045751633987,2,2
236,1.0986122886681098,6.752258693830513,0.48884671704721544,0.9782608695652174,0,4
45,1.3862943611198906,6.353012598149689,1.8101086078962514,0.7777777777777778,1,1
276,0.6931471805599453,4.6443908991413725,0.0,1.0,0,4
9,1.0986122886681098,7.288955016552379,1.0986122886681098,0.9166666666666666,1,1
